   PID TTY      STAT   TIME COMMAND
     1 ?        Ss     0:01 /sbin/init
     2 ?        S      0:00 [kthreadd]
     3 ?        S      0:00 [ksoftirqd/0]
     5 ?        S<     0:00 [kworker/0:0H]
     7 ?        S      0:00 [rcu_sched]
     8 ?        S      0:00 [rcu_bh]
     9 ?        S      0:00 [migration/0]
    10 ?        S      0:00 [watchdog/0]
    11 ?        S      0:00 [watchdog/1]
    12 ?        S      0:00 [migration/1]
    13 ?        S      0:00 [ksoftirqd/1]
    15 ?        S<     0:00 [kworker/1:0H]
    16 ?        S<     0:00 [khelper]
    17 ?        S      0:00 [kdevtmpfs]
    18 ?        S<     0:00 [netns]
    19 ?        S      0:00 [khungtaskd]
    20 ?        S<     0:00 [writeback]
    21 ?        SN     0:00 [ksmd]
    22 ?        SN     0:00 [khugepaged]
    23 ?        S<     0:00 [crypto]
    24 ?        S<     0:00 [kintegrityd]
    25 ?        S<     0:00 [bioset]
    26 ?        S<     0:00 [kblockd]
    28 ?        S      0:00 [kswapd0]
    29 ?        S<     0:00 [vmstat]
    30 ?        S      0:00 [fsnotify_mark]
    36 ?        S<     0:00 [kthrotld]
    38 ?        S<     0:00 [ipv6_addrconf]
    39 ?        S<     0:00 [deferwq]
    75 ?        S<     0:00 [ata_sff]
    76 ?        S      0:00 [scsi_eh_0]
    77 ?        S<     0:00 [scsi_tmf_0]
    78 ?        S      0:00 [scsi_eh_1]
    79 ?        S<     0:00 [scsi_tmf_1]
    81 ?        S<     0:00 [mpt_poll_0]
    82 ?        S<     0:00 [mpt/0]
    84 ?        S      0:00 [khubd]
    85 ?        S<     0:00 [kpsmoused]
    89 ?        S      0:00 [scsi_eh_2]
    90 ?        S<     0:00 [scsi_tmf_2]
    96 ?        S<     0:00 [kworker/1:1H]
    97 ?        S<     0:00 [kworker/0:1H]
   117 ?        S      0:00 [jbd2/sda1-8]
   118 ?        S<     0:00 [ext4-rsv-conver]
   149 ?        S      0:00 [kauditd]
   157 ?        Ss     0:00 /lib/systemd/systemd-journald
   162 ?        Ss     0:00 /lib/systemd/systemd-udevd
   223 ?        S<     0:00 [ttm_swap]
   392 ?        Ss     0:00 /sbin/rpcbind -w
   401 ?        Ss     0:00 /sbin/rpc.statd
   406 ?        S<     0:00 [rpciod]
   408 ?        S<     0:00 [nfsiod]
   415 ?        Ss     0:00 /usr/sbin/rpc.idmapd
   417 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
   419 ?        Ssl    0:00 /usr/sbin/NetworkManager --no-daemon
   421 ?        Ss     0:00 /usr/sbin/atd -f
   423 ?        Ss     0:00 /usr/sbin/cron -f
   425 ?        Ssl    0:00 /usr/sbin/ModemManager
   427 ?        Ss     0:00 /lib/systemd/systemd-logind
   432 ?        Ss     0:00 avahi-daemon: running [debvirtualenv.local]
   433 ?        Ss     0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
   486 ?        Ss     0:00 /usr/sbin/minissdpd -i 0.0.0.0
   688 ?        S      0:00 avahi-daemon: chroot helper
   698 ?        Ssl    0:00 /usr/sbin/rsyslogd -n
