   PID TTY          TIME CMD
     1 ?        00:00:01 systemd
     2 ?        00:00:00 kthreadd
     3 ?        00:00:00 ksoftirqd/0
     5 ?        00:00:00 kworker/0:0H
     7 ?        00:00:00 rcu_sched
     8 ?        00:00:00 rcu_bh
     9 ?        00:00:00 migration/0
    10 ?        00:00:00 watchdog/0
    11 ?        00:00:00 watchdog/1
    12 ?        00:00:00 migration/1
    13 ?        00:00:00 ksoftirqd/1
    15 ?        00:00:00 kworker/1:0H
    16 ?        00:00:00 khelper
    17 ?        00:00:00 kdevtmpfs
    18 ?        00:00:00 netns
    19 ?        00:00:00 khungtaskd
    20 ?        00:00:00 writeback
    21 ?        00:00:00 ksmd
    22 ?        00:00:00 khugepaged
    23 ?        00:00:00 crypto
    24 ?        00:00:00 kintegrityd
    25 ?        00:00:00 bioset
    26 ?        00:00:00 kblockd
    28 ?        00:00:00 kswapd0
    29 ?        00:00:00 vmstat
    30 ?        00:00:00 fsnotify_mark
    36 ?        00:00:00 kthrotld
    38 ?        00:00:00 ipv6_addrconf
    39 ?        00:00:00 deferwq
    75 ?        00:00:00 ata_sff
    76 ?        00:00:00 scsi_eh_0
    77 ?        00:00:00 scsi_tmf_0
    78 ?        00:00:00 scsi_eh_1
    79 ?        00:00:00 scsi_tmf_1
    81 ?        00:00:00 mpt_poll_0
    82 ?        00:00:00 mpt/0
    84 ?        00:00:00 khubd
    85 ?        00:00:00 kpsmoused
    89 ?        00:00:00 scsi_eh_2
    90 ?        00:00:00 scsi_tmf_2
    96 ?        00:00:00 kworker/1:1H
    97 ?        00:00:00 kworker/0:1H
   117 ?        00:00:00 jbd2/sda1-8
   118 ?        00:00:00 ext4-rsv-conver
   149 ?        00:00:00 kauditd
   157 ?        00:00:00 systemd-journal
   162 ?        00:00:00 systemd-udevd
   223 ?        00:00:00 ttm_swap
   392 ?        00:00:00 rpcbind
   401 ?        00:00:00 rpc.statd
   406 ?        00:00:00 rpciod
   408 ?        00:00:00 nfsiod
   415 ?        00:00:00 rpc.idmapd
   417 ?        00:00:00 accounts-daemon
   419 ?        00:00:00 NetworkManager
   421 ?        00:00:00 atd
   423 ?        00:00:00 cron
   425 ?        00:00:00 ModemManager
   427 ?        00:00:00 systemd-logind
   432 ?        00:00:00 avahi-daemon
   433 ?        00:00:00 dbus-daemon
   486 ?        00:00:00 minissdpd
   688 ?        00:00:00 avahi-daemon
   698 ?        00:00:00 rsyslogd
   701 ?        00:00:00 acpid
